"","tag_code","node","slot","event_type_name","n_dets","min_det","max_det","duration","travel_time"
"1","384.1B7973083B",1,1,"Observation",37,"2022-04-26 20:37:22","2022-04-26 20:37:23",0.0166666666666667,NA
"2","384.1B7973083B",2,2,"Observation",3,"2022-04-26 20:37:41","2022-04-26 20:37:41",0,0.3
"3","384.1B7973117F",1,1,"Observation",11,"2022-04-27 23:49:26","2022-04-27 23:49:26",0,NA
"4","384.1B7973117F",2,2,"Observation",1,"2022-04-27 23:49:43","2022-04-27 23:49:43",0,0.283333333333333
"5","384.1B79758B3C",7,1,"Observation",5083,"2022-04-15 04:10:06","2022-04-29 03:50:13",20140.1166666667,NA
"6","384.1B797591DD",16,1,"Observation",3,"2022-03-28 15:57:25","2022-03-28 16:04:23",6.96666666666667,NA
"7","3D9.1A4FA10A07",1,1,"Observation",7,"2022-03-31 18:02:35","2022-04-05 20:40:19",7357.73333333333,NA
"8","3D9.1A4FA10A07",11,2,"Observation",2,"2022-04-05 21:04:46","2022-04-05 21:10:44",5.96666666666667,24.45
"9","3D9.1A4FA10A07",1,3,"Observation",1,"2022-04-05 21:34:45","2022-04-05 21:34:45",0,24.0166666666667
"10","3D9.1C2D6EFF96",15,1,"Observation",3,"2022-04-19 12:28:27","2022-04-19 12:31:31",3.06666666666667,NA
"11","3D9.1C2D6EFF96",7,2,"Observation",90,"2022-04-25 12:32:37","2022-04-25 13:14:14",41.6166666666667,8641.1
"12","3D9.1C2D7084E1",11,1,"Observation",3,"2022-02-14 10:19:42","2022-04-07 11:16:54",74877.2,NA
"13","3D9.1C2D7084E1",7,2,"Observation",572,"2022-04-07 11:38:03","2022-04-25 13:14:03",26016,21.15
"14","3D9.1C2D70DFF0",1,1,"Observation",820,"2022-04-20 07:13:04","2022-04-20 08:04:04",51,NA
"15","3D9.1C2DEF6A0A",1,1,"Observation",4,"2022-02-10 06:14:03","2022-02-10 06:19:11",5.13333333333333,NA
"16","3D9.1C2DEF6A0A",2,2,"Observation",4,"2022-02-10 06:19:52","2022-02-15 12:57:38",7597.76666666667,0.683333333333333
"17","3D9.1C2DEF6A0A",1,3,"Observation",2,"2022-02-15 13:29:21","2022-02-15 13:35:11",5.83333333333333,31.7166666666667
"18","3D9.1C2DEF6A0A",2,4,"Observation",1,"2022-02-15 13:41:09","2022-02-15 13:41:09",0,5.96666666666667
