Date,Tag,Location,Lon,Lat,Release
5/1/2022,F1.1,Lem 1 Release,,,1
5/2/2022,F1.1,Upper HRSC,,,1
5/3/2022,F1.1,Upper HRSC,,,1
5/4/2022,F1.1,Upper HRSC,,,1
5/5/2022,F1.1,Lemhi 3,,,1
5/6/2022,F1.1,Lemhi 4,,,1
5/7/2022,F1.1,Lemhi 5,,,1
5/1/2022,F1.11,Lem 1 Release,,,1
5/2/2022,F1.11,Lemhi 2,,,1
5/3/2022,F1.11,Lemhi 3,,,1
5/4/2022,F1.11,Lemhi 4,,,1
5/5/2022,F1.11,Lemhi 5,,,1
5/1/2022,F1.2,Lem 1 Release,,,1
5/2/2022,F1.2,Lemhi 2,,,1
5/3/2022,F1.2,Lemhi 3,,,1
5/4/2022,F1.2,Lemhi 4,,,1
5/5/2022,F1.2,Lemhi 5,,,1
5/1/2022,F1.3,Lem 1 Release,,,1
5/2/2022,F1.3,Upper HRSC,,,1
5/3/2022,F1.3,Lemhi 3,,,1
5/4/2022,F1.3,Lemhi 4,,,1
5/5/2022,F1.3,Lemhi 5,,,1
5/1/2022,F1.4,Lem 1 Release,,,1
5/2/2022,F1.4,Lemhi 2,,,1
5/3/2022,F1.4,Lemhi 3,,,1
5/4/2022,F1.4,Lemhi 4,,,1
5/5/2022,F1.4,Lemhi 5,,,1
5/1/2022,F1.5,Lem 1 Release,,,1
5/2/2022,F1.5,Lemhi 2,,,1
5/3/2022,F1.5,Lemhi 3,,,1
5/4/2022,F1.5,Lower HRSC,,,1
5/5/2022,F1.5,Lemhi 5,,,1
5/1/2022,F1.6,Lem 1 Release,,,1
5/2/2022,F1.6,Upper HRSC,,,1
5/3/2022,F1.6,Lemhi 3,,,1
5/4/2022,F1.6,Lemhi 4,,,1
5/5/2022,F1.6,Lemhi 5,,,1
5/1/2022,F1.7,Lem 1 Release,,,1
5/2/2022,F1.7,Lemhi 2,,,1
5/3/2022,F1.7,Lemhi 3,,,1
5/4/2022,F1.7,Lemhi 4,,,1
5/5/2022,F1.7,Lemhi 5,,,1
5/1/2022,F1.8,Lem 1 Release,,,1
5/2/2022,F1.8,Lemhi 2,,,1
5/3/2022,F1.8,Lemhi 3,,,1
5/4/2022,F1.8,Lower HRSC,,,1
5/5/2022,F1.8,Lower HRSC,,,1
5/6/2022,F1.8,Lower HRSC,,,1
5/7/2022,F1.8,Lower HRSC,,,1
