site,tag,detected,reader,antenna
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:07,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:06,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:05,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:04,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:03,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:02,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:01,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:30:00,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:59,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:58,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:29:57,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:24,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:24,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:24,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:24,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:24,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:24,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:24,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:24,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:24,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:23,01,01
0LL,3DD.003DE66221,2022-04-30 23:28:22,01,01
